"","RefSeq_accession_number","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Organism","Length"
"129","NP_113584","Q7Z6Z7","reviewed","HUWE1_HUMAN","E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)","HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272","Homo sapiens (Human)",4374
"130","NP_612482","P08047","reviewed","SP1_HUMAN","Transcription factor Sp1","SP1 TSFP1","Homo sapiens (Human)",785
"131","NP_006176","Q14980","reviewed","NUMA1_HUMAN","Nuclear mitotic apparatus protein 1 (Nuclear matrix protein-22) (NMP-22) (Nuclear mitotic apparatus protein) (NuMA protein) (SP-H antigen)","NUMA1 NMP22 NUMA","Homo sapiens (Human)",2115
"132","NP_006176","Q3SYK8","unreviewed","Q3SYK8_HUMAN","NUMA1 protein","NUMA1","Homo sapiens (Human)",691
"133","NP_006176","Q4LE64","unreviewed","Q4LE64_HUMAN","NUMA1 variant protein","NUMA1 variant protein","Homo sapiens (Human)",2121
"134","NP_006258","P49792","reviewed","RBP2_HUMAN","E3 SUMO-protein ligase RanBP2 (EC 2.3.2.-) (358 kDa nucleoporin) (Nuclear pore complex protein Nup358) (Nucleoporin Nup358) (Ran-binding protein 2) (RanBP2) (p270)","RANBP2 NUP358","Homo sapiens (Human)",3224
"135","NP_055185","Q9UPE1","reviewed","SRPK3_HUMAN","SRSF protein kinase 3 (EC 2.7.11.1) (Muscle-specific serine kinase 1) (MSSK-1) (Serine/arginine-rich protein-specific kinase 3) (SR-protein-specific kinase 3) (Serine/threonine-protein kinase 23)","SRPK3 MSSK1 STK23","Homo sapiens (Human)",567
"136","NP_001137485","A6NKT7","reviewed","RGPD3_HUMAN","RanBP2-like and GRIP domain-containing protein 3","RGPD3 RGP3","Homo sapiens (Human)",1758
"137","NP_005045","Q99666","reviewed","RGPD5_HUMAN","RANBP2-like and GRIP domain-containing protein 5/6 (Ran-binding protein 2-like 1/2) (RanBP2-like 1/2) (RanBP2L1) (RanBP2L2) (Sperm membrane protein BS-63)","RGPD5 RANBP2L1 RGP5 RGP7 RGPD7; RGPD6 RANBP2L2 RGP6","Homo sapiens (Human)",1765
"138","NP_005045","V9HWE4","unreviewed","V9HWE4_HUMAN","Epididymis luminal protein 161 (Testis secretory sperm-binding protein Li 226n)","HEL161","Homo sapiens (Human)",1765
"139","NP_872394","Q7Z3J3","reviewed","RGPD4_HUMAN","RanBP2-like and GRIP domain-containing protein 4","RGPD4 RGP4","Homo sapiens (Human)",1758
"140","NP_001019628","P0DJD0","reviewed","RGPD1_HUMAN","RANBP2-like and GRIP domain-containing protein 1 (Ran-binding protein 2-like 6) (RanBP2-like 6) (RanBP2L6)","RGPD1 RANBP2L6 RGP1","Homo sapiens (Human)",1748
"141","NP_872634","P78362","reviewed","SRPK2_HUMAN","SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal]","SRPK2","Homo sapiens (Human)",688
"142","NP_005029","Q08752","reviewed","PPID_HUMAN","Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (40 kDa peptidyl-prolyl cis-trans isomerase) (Cyclophilin-40) (CYP-40) (Cyclophilin-related protein) (Rotamase D)","PPID CYP40 CYPD","Homo sapiens (Human)",370
"143","NP_005029","E5KN55","unreviewed","E5KN55_HUMAN","Peptidyl-prolyl cis-trans isomerase D (Testicular tissue protein Li 147)","","Homo sapiens (Human)",370
"144","NP_003128","Q96SB4","reviewed","SRPK1_HUMAN","SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1)","SRPK1","Homo sapiens (Human)",655
"145","NP_005720","P30405","reviewed","PPIF_HUMAN","Peptidyl-prolyl cis-trans isomerase F, mitochondrial (PPIase F) (EC 5.2.1.8) (Cyclophilin D) (CyP-D) (CypD) (Cyclophilin F) (Mitochondrial cyclophilin) (CyP-M) (Rotamase F)","PPIF CYP3","Homo sapiens (Human)",207
"146","NP_004095","P49327","reviewed","FAS_HUMAN","Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]","FASN FAS","Homo sapiens (Human)",2511
"147","NP_002017","P02751","reviewed","FINC_HUMAN","Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]","FN1 FN","Homo sapiens (Human)",2477
"148","NP_002017","Q6MZF4","unreviewed","Q6MZF4_HUMAN","Fibronectin","DKFZp686K139 DKFZp686F219","Homo sapiens (Human)",1103
"149","NP_002017","Q6N084","unreviewed","Q6N084_HUMAN","Fibronectin","DKFZp686L11144","Homo sapiens (Human)",1034
"150","NP_997647","P02751","reviewed","FINC_HUMAN","Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]","FN1 FN","Homo sapiens (Human)",2477
"151","NP_997647","Q6MZM7","unreviewed","Q6MZM7_HUMAN","Fibronectin","DKFZp686O12165","Homo sapiens (Human)",2193
"152","NP_997647","Q9UQS6","unreviewed","Q9UQS6_HUMAN","Fibronectin","","Homo sapiens (Human)",354
"153","NP_997639","P02751","reviewed","FINC_HUMAN","Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]","FN1 FN","Homo sapiens (Human)",2477
"154","NP_997639","Q9UQS6","unreviewed","Q9UQS6_HUMAN","Fibronectin","","Homo sapiens (Human)",354
"155","NP_009055","P46939","reviewed","UTRN_HUMAN","Utrophin (Dystrophin-related protein 1) (DRP-1)","UTRN DMDL DRP1","Homo sapiens (Human)",3433
"156","NP_009055","Q6LBS5","unreviewed","Q6LBS5_HUMAN","Dystrophin-related protein (490 AA)","","Homo sapiens (Human)",490
"157","NP_003997","P11532","reviewed","DMD_HUMAN","Dystrophin","DMD","Homo sapiens (Human)",3685
"158","NP_004005","P11532","reviewed","DMD_HUMAN","Dystrophin","DMD","Homo sapiens (Human)",3685
"159","NP_004007","P11532","reviewed","DMD_HUMAN","Dystrophin","DMD","Homo sapiens (Human)",3685
"160","NP_004007","A0A0S2Z3J7","unreviewed","A0A0S2Z3J7_HUMAN","Dystrophin isoform 1","DMD","Homo sapiens (Human)",635
"161","NP_001164655","Q13474","reviewed","DRP2_HUMAN","Dystrophin-related protein 2 (DRP-2)","DRP2","Homo sapiens (Human)",957
"162","NP_000055","P01024","reviewed","CO3_HUMAN","Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]","C3 CPAMD1","Homo sapiens (Human)",1663
"163","NP_000055","B4DR57","unreviewed","B4DR57_HUMAN","cDNA FLJ60818, highly similar to Complement C3","","Homo sapiens (Human)",235
"164","NP_000055","V9HWA9","unreviewed","V9HWA9_HUMAN","Complement C3","HEL-S-62p","Homo sapiens (Human)",1663
"165","NP_002323","Q07954","reviewed","LRP1_HUMAN","Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]","LRP1 A2MR APR","Homo sapiens (Human)",4544
"166","NP_002323","Q59FG2","unreviewed","Q59FG2_HUMAN","Low density lipoprotein-related protein 1 variant","","Homo sapiens (Human)",2359
"167","NP_061027","Q9NZR2","reviewed","LRP1B_HUMAN","Low-density lipoprotein receptor-related protein 1B (LRP-1B) (Low-density lipoprotein receptor-related protein-deleted in tumor) (LRP-DIT)","LRP1B LRPDIT","Homo sapiens (Human)",4599
"168","NP_065872","Q709C8","reviewed","VP13C_HUMAN","Intermembrane lipid transfer protein VPS13C (Vacuolar protein sorting-associated protein 13C)","VPS13C KIAA1421","Homo sapiens (Human)",3753
"169","NP_006827","Q92616","reviewed","GCN1_HUMAN","Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)","GCN1 GCN1L1 KIAA0219","Homo sapiens (Human)",2671
"170","NP_003117","P02549","reviewed","SPTA1_HUMAN","Spectrin alpha chain, erythrocytic 1 (Erythroid alpha-spectrin)","SPTA1 SPTA","Homo sapiens (Human)",2419
"171","NP_612429","Q8IVF2","reviewed","AHNK2_HUMAN","Protein AHNAK2","AHNAK2 C14orf78 KIAA2019","Homo sapiens (Human)",5795
"172","NP_003283","P12270","reviewed","TPR_HUMAN","Nucleoprotein TPR (Megator) (NPC-associated intranuclear protein) (Translocated promoter region protein)","TPR","Homo sapiens (Human)",2363
"173","NP_054733","O75643","reviewed","U520_HUMAN","U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD)","SNRNP200 ASCC3L1 BRR2 HELIC2 KIAA0788","Homo sapiens (Human)",2136
"174","NP_000468","P02768","reviewed","ALBU_HUMAN","Albumin","ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341","Homo sapiens (Human)",609
"175","NP_004361","Q99715","reviewed","COCA1_HUMAN","Collagen alpha-1(XII) chain","COL12A1 COL12A1L","Homo sapiens (Human)",3063
"176","NP_004850","Q00610","reviewed","CLH1_HUMAN","Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17)","CLTC CLH17 CLTCL2 KIAA0034","Homo sapiens (Human)",1675
"177","NP_009029","P53675","reviewed","CLH2_HUMAN","Clathrin heavy chain 2 (Clathrin heavy chain on chromosome 22) (CLH-22)","CLTCL1 CLH22 CLTCL CLTD","Homo sapiens (Human)",1640
"178","NP_003861","P46940","reviewed","IQGA1_HUMAN","Ras GTPase-activating-like protein IQGAP1 (p195)","IQGAP1 KIAA0051","Homo sapiens (Human)",1657
"179","NP_006624","Q13576","reviewed","IQGA2_HUMAN","Ras GTPase-activating-like protein IQGAP2","IQGAP2","Homo sapiens (Human)",1575
"180","NP_006624","B7Z7U6","unreviewed","B7Z7U6_HUMAN","cDNA FLJ51769, highly similar to Ras GTPase-activating-like protein IQGAP2","","Homo sapiens (Human)",1402
"181","NP_006624","Q59HA3","unreviewed","Q59HA3_HUMAN","IQ motif containing GTPase activating protein 2 variant","","Homo sapiens (Human)",1155
"182","NP_839943","Q86VI3","reviewed","IQGA3_HUMAN","Ras GTPase-activating-like protein IQGAP3","IQGAP3","Homo sapiens (Human)",1631
"183","NP_002696","O60437","reviewed","PEPL_HUMAN","Periplakin (190 kDa paraneoplastic pemphigus antigen) (195 kDa cornified envelope precursor protein)","PPL KIAA0568","Homo sapiens (Human)",1756
"184","NP_002069","Q13439","reviewed","GOGA4_HUMAN","Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)","GOLGA4","Homo sapiens (Human)",2230
"185","NP_002069","Q49A56","unreviewed","Q49A56_HUMAN","GOLGA4 protein","GOLGA4","Homo sapiens (Human)",218
"186","NP_001166184","Q13439","reviewed","GOGA4_HUMAN","Golgin subfamily A member 4 (256 kDa golgin) (Golgin-245) (Protein 72.1) (Trans-Golgi p230)","GOLGA4","Homo sapiens (Human)",2230
"187","NP_001166184","Q49A56","unreviewed","Q49A56_HUMAN","GOLGA4 protein","GOLGA4","Homo sapiens (Human)",218
"188","NP_114141","Q96RW7","reviewed","HMCN1_HUMAN","Hemicentin-1 (Fibulin-6) (FIBL-6)","HMCN1 FIBL6","Homo sapiens (Human)",5635
"189","NP_001254479","A0A0A0MTS7","unreviewed","A0A0A0MTS7_HUMAN","Titin","TTN","Homo sapiens (Human)",35991
"190","NP_001091738","P49917","reviewed","DNLI4_HUMAN","DNA ligase 4 (EC 6.5.1.1) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)","LIG4","Homo sapiens (Human)",911
"191","NP_596870","Q8WZ42","reviewed","TITIN_HUMAN","Titin (EC 2.7.11.1) (Connectin) (Rhabdomyosarcoma antigen MU-RMS-40.14)","TTN","Homo sapiens (Human)",34350
"192","NP_596870","Q7Z3B7","unreviewed","Q7Z3B7_HUMAN","Uncharacterized protein DKFZp451N061","DKFZp451N061","Homo sapiens (Human)",1263
"193","NP_663304","O43318","reviewed","M3K7_HUMAN","Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)","MAP3K7 TAK1","Homo sapiens (Human)",606
"194","NP_003179","O43318","reviewed","M3K7_HUMAN","Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)","MAP3K7 TAK1","Homo sapiens (Human)",606
"195","NP_001138668","Q5VVP1","reviewed","S31A6_HUMAN","Spermatogenesis-associated protein 31A6 (Protein FAM75A6)","SPATA31A6 FAM75A6","Homo sapiens (Human)",1343
"196","NP_001014364","Q5D862","reviewed","FILA2_HUMAN","Filaggrin-2 (FLG-2) (Intermediate filament-associated and psoriasis-susceptibility protein) (Ifapsoriasin)","FLG2 IFPS","Homo sapiens (Human)",2391
"197","NP_003741","Q14152","reviewed","EIF3A_HUMAN","Eukaryotic translation initiation factor 3 subunit A (eIF3a) (Eukaryotic translation initiation factor 3 subunit 10) (eIF-3-theta) (eIF3 p167) (eIF3 p180) (eIF3 p185)","EIF3A EIF3S10 KIAA0139","Homo sapiens (Human)",1382
"198","NP_003080","P08621","reviewed","RU17_HUMAN","U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)","SNRNP70 RNPU1Z RPU1 SNRP70 U1AP1","Homo sapiens (Human)",437
"199","NP_002895","P18615","reviewed","NELFE_HUMAN","Negative elongation factor E (NELF-E) (RNA-binding protein RD)","NELFE RD RDBP","Homo sapiens (Human)",380
"200","NP_002895","A0A1U9X830","unreviewed","A0A1U9X830_HUMAN","Negative elongation factor E","","Homo sapiens (Human)",380
"201","NP_067051","Q9H7N4","reviewed","SFR19_HUMAN","Splicing factor, arginine/serine-rich 19 (SR-related C-terminal domain-associated factor 1) (SR-related and CTD-associated factor 1) (SR-related-CTD-associated factor) (SCAF) (Serine arginine-rich pre-mRNA splicing factor SR-A1) (SR-A1)","SCAF1 SFRS19 SRA1","Homo sapiens (Human)",1312
"202","NP_078873","Q8IWC1","reviewed","MA7D3_HUMAN","MAP7 domain-containing protein 3","MAP7D3 MDP3","Homo sapiens (Human)",876
"203","NP_001166987","Q8IWC1","reviewed","MA7D3_HUMAN","MAP7 domain-containing protein 3","MAP7D3 MDP3","Homo sapiens (Human)",876
"204","NP_065700","Q9HC52","reviewed","CBX8_HUMAN","Chromobox protein homolog 8 (Polycomb 3 homolog) (Pc3) (hPc3) (Rectachrome 1)","CBX8 PC3 RC1","Homo sapiens (Human)",389
"205","NP_055107","O95503","reviewed","CBX6_HUMAN","Chromobox protein homolog 6","CBX6","Homo sapiens (Human)",412
"206","NP_002151","P24821","reviewed","TENA_HUMAN","Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)","TNC HXB","Homo sapiens (Human)",2201
"207","NP_002151","B4E1W8","unreviewed","B4E1W8_HUMAN","cDNA FLJ60213, highly similar to Tenascin","","Homo sapiens (Human)",1080
"208","NP_002151","Q4LE33","unreviewed","Q4LE33_HUMAN","TNC variant protein","TNC variant protein","Homo sapiens (Human)",2233
"209","NP_061978","P22105","reviewed","TENX_HUMAN","Tenascin-X (TN-X) (Hexabrachion-like protein)","TNXB HXBL TNX TNXB1 TNXB2 XB","Homo sapiens (Human)",4244
"210","NP_061978","O95680","unreviewed","O95680_HUMAN","Tenascin-X","XB","Homo sapiens (Human)",426
"211","NP_061978","O95681","unreviewed","O95681_HUMAN","Tenascin-X","XB","Homo sapiens (Human)",423
"212","NP_061978","Q9Y464","unreviewed","Q9Y464_HUMAN","Tenascin-X","XB","Homo sapiens (Human)",865
"213","NP_006436","Q6P2Q9","reviewed","PRP8_HUMAN","Pre-mRNA-processing-splicing factor 8 (220 kDa U5 snRNP-specific protein) (PRP8 homolog) (Splicing factor Prp8) (p220)","PRPF8 PRPC8","Homo sapiens (Human)",2335
"214","NP_006717","P50851","reviewed","LRBA_HUMAN","Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)","LRBA BGL CDC4L LBA","Homo sapiens (Human)",2863
"215","NP_001186211","P50851","reviewed","LRBA_HUMAN","Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein) (CDC4-like protein)","LRBA BGL CDC4L LBA","Homo sapiens (Human)",2863
"216","NP_056493","Q8NFP9","reviewed","NBEA_HUMAN","Neurobeachin (Lysosomal-trafficking regulator 2) (Protein BCL8B)","NBEA BCL8B KIAA1544 LYST2","Homo sapiens (Human)",2946
"217","NP_056493","B3KXQ8","unreviewed","B3KXQ8_HUMAN","cDNA FLJ45892 fis, clone OCBBF3023175, highly similar to Protein neurobeachin","","Homo sapiens (Human)",1558
"218","NP_004230","Q15643","reviewed","TRIPB_HUMAN","Thyroid receptor-interacting protein 11 (TR-interacting protein 11) (TRIP-11) (Clonal evolution-related gene on chromosome 14 protein) (Golgi-associated microtubule-binding protein 210) (GMAP-210) (Trip230)","TRIP11 CEV14","Homo sapiens (Human)",1979
"219","NP_510880","Q92614","reviewed","MY18A_HUMAN","Unconventional myosin-XVIIIa (Molecule associated with JAK3 N-terminus) (MAJN) (Myosin containing a PDZ domain) (Surfactant protein receptor SP-R210) (SP-R210)","MYO18A CD245 KIAA0216 MYSPDZ TIAF1","Homo sapiens (Human)",2054
"220","NP_004516","P98164","reviewed","LRP2_HUMAN","Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)","LRP2","Homo sapiens (Human)",4655
"221","NP_004516","Q7Z5C0","unreviewed","Q7Z5C0_HUMAN","Glycoprotein receptor gp330/megalin","","Homo sapiens (Human)",4655
"222","NP_004516","Q7Z5C1","unreviewed","Q7Z5C1_HUMAN","Glycoprotein receptor gp330/megalin","","Homo sapiens (Human)",4655
"223","NP_579899","Q9NZM1","reviewed","MYOF_HUMAN","Myoferlin (Fer-1-like protein 3)","MYOF FER1L3 KIAA1207","Homo sapiens (Human)",2061
"224","NP_038479","Q9NZM1","reviewed","MYOF_HUMAN","Myoferlin (Fer-1-like protein 3)","MYOF FER1L3 KIAA1207","Homo sapiens (Human)",2061
"225","NP_001124459","O75923","reviewed","DYSF_HUMAN","Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)","DYSF FER1L1","Homo sapiens (Human)",2080
"226","NP_001124453","O75923","reviewed","DYSF_HUMAN","Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)","DYSF FER1L1","Homo sapiens (Human)",2080
"227","NP_001229752","P0C0L5","reviewed","CO4B_HUMAN","Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]","C4B CO4 CPAMD3; C4B_2","Homo sapiens (Human)",1744
"228","NP_001002029","P0C0L4","reviewed","CO4A_HUMAN","Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]","C4A CO4 CPAMD2","Homo sapiens (Human)",1744
"229","NP_001002029","P0C0L5","reviewed","CO4B_HUMAN","Complement C4-B (Basic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 3) [Cleaved into: Complement C4 beta chain; Complement C4-B alpha chain; C4a anaphylatoxin; C4b-B; C4d-B; Complement C4 gamma chain]","C4B CO4 CPAMD3; C4B_2","Homo sapiens (Human)",1744
"230","NP_009224","P0C0L4","reviewed","CO4A_HUMAN","Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]","C4A CO4 CPAMD2","Homo sapiens (Human)",1744
"231","NP_000543","P04275","reviewed","VWF_HUMAN","von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)]","VWF F8VWF","Homo sapiens (Human)",2813
"232","NP_057336","Q9NR09","reviewed","BIRC6_HUMAN","Baculoviral IAP repeat-containing protein 6 (EC 2.3.2.27) (BIR repeat-containing ubiquitin-conjugating enzyme) (BRUCE) (RING-type E3 ubiquitin transferase BIRC6) (Ubiquitin-conjugating BIR domain enzyme apollon) (APOLLON)","BIRC6 KIAA1289","Homo sapiens (Human)",4857
"233","NP_005551","O15230","reviewed","LAMA5_HUMAN","Laminin subunit alpha-5 (Laminin-10 subunit alpha) (Laminin-11 subunit alpha) (Laminin-15 subunit alpha)","LAMA5 KIAA0533 KIAA1907","Homo sapiens (Human)",3695
"234","NP_937762","Q16787","reviewed","LAMA3_HUMAN","Laminin subunit alpha-3 (Epiligrin 170 kDa subunit) (E170) (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha)","LAMA3 LAMNA","Homo sapiens (Human)",3333
"235","NP_004437","P07814","reviewed","SYEP_HUMAN","Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) (Cell proliferation-inducing gene 32 protein) (Glutamatyl-prolyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase)]","EPRS1 EPRS GLNS PARS QARS QPRS PIG32","Homo sapiens (Human)",1512
"236","NP_005900","P46821","reviewed","MAP1B_HUMAN","Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]","MAP1B","Homo sapiens (Human)",2468
